passive_land,Bat,bat,reward0_verycommon,,
passive_land,Chicken,chicken,reward0_verycommon,,
passive_land,Cow,cow,reward0_verycommon,,
passive_land,Donkey,donkey,reward0_verycommon,,
passive_land,Fox,fox,reward0_verycommon,,
passive_land,Horse,horse,reward0_verycommon,,
passive_land,Mooshroom,mooshroom,reward3_rare,,
passive_land,Mule,mule,reward0_verycommon,,
passive_land,Ocelot,ocelot,reward0_verycommon,,
passive_land,Parrot,parrot,reward0_verycommon,,
passive_land,Pig,pig,reward0_verycommon,,
passive_land,Rabbit,rabbit,reward0_verycommon,,
passive_land,Sheep,sheep,reward0_verycommon,,
passive_land,Skeleton Horse,skeleton_horse,reward3_rare,,
passive_land,Snow Golem,snow_golem,reward2_uncommon,jack_o_lantern,
passive_land,Strider,strider,reward1_common,,
passive_land,Turtle,turtle,reward0_verycommon,,
passive_aqua,Axolotl,axolotl,reward2_uncommon,,
passive_aqua,Cod,cod,reward0_verycommon,,
passive_aqua,Glow Squid,glow_squid,reward1_common,,
passive_aqua,Pufferfish,pufferfish,reward0_verycommon,,
passive_aqua,Salmon,salmon,reward0_verycommon,,
passive_aqua,Squid,squid,reward0_verycommon,,
passive_aqua,Tropical Fish,tropical_fish,reward0_verycommon,,
neutral,Cave Spider,cave_spider,reward0_verycommon,,
neutral,Dolphin,dolphin,reward0_verycommon,,
neutral,Enderman,enderman,reward0_verycommon,,
neutral,Goat,goat,reward0_verycommon,,
neutral,Llama,llama,reward0_verycommon,,
neutral,Panda,panda,reward3_rare,,
neutral,Piglin,piglin,reward0_verycommon,,
neutral,Polar Bear,polar_bear,reward0_verycommon,,
neutral,Spider,spider,reward0_verycommon,,
neutral,Wolf,wolf,reward0_verycommon,,
neutral,Zombified Piglin,zombified_piglin,reward0_verycommon,,
hostile,Blaze,blaze,reward0_verycommon,,
hostile,Creeper,creeper,reward0_verycommon,,
hostile,Drowned,drowned,reward0_verycommon,,
hostile,Elder Guardian,elder_guardian,reward2_uncommon,,
hostile,Endermite,endermite,reward2_uncommon,,
hostile,Evoker,evoker,reward2_uncommon,,
hostile,Ghast,ghast,reward0_verycommon,,
hostile,Guardian,guardian,reward1_common,,
hostile,Hoglin,hoglin,reward0_verycommon,,
hostile,Husk,husk,reward0_verycommon,,
hostile,Phantom,phantom,reward1_common,,
hostile,Piglin Brute,piglin_brute,reward1_common,,
hostile,Pillager,pillager,reward0_verycommon,,
hostile,Ravager,ravager,reward2_uncommon,,
hostile,Shulker,shulker,reward1_common,,
hostile,Silverfish,silverfish,reward1_common,,
hostile,Skeleton,skeleton,reward0_verycommon,,
hostile,Slime,slime,reward0_verycommon,,
hostile,Stray,stray,reward0_verycommon,,
hostile,Vex,vex,reward3_rare,,
hostile,Vindicator,vindicator,reward2_uncommon,,
hostile,Witch,witch,reward1_common,,
hostile,Wither Skeleton,wither_skeleton,reward1_common,,
hostile,Zoglin,zoglin,reward2_uncommon,,
hostile,Zombie,zombie,reward0_verycommon,,
hostile,Zombie Villager,zombie_villager,reward2_uncommon,,
boss,Ender Dragon,ender_dragon,reward4_veryrare,dragon_egg,
boss,Wither,wither,reward4_veryrare,wither_rose,
